Round,GPT_Best,GPT_Mean,GPT_Std,Fixed_Best,Fixed_Mean,Fixed_Std
1,0.7292899967402651,0.7292899967402651,0.0,0.7319430908063098,0.7319430908063098,0.0
2,0.7301446249448116,0.7301446249448116,0.0,0.7345554175555291,0.7345554175555291,0.0
3,0.7360118175703835,0.7360118175703835,0.0,0.7345262037293017,0.7345262037293017,0.0
4,0.731322503311313,0.731322503311313,0.0,0.7360571237585155,0.7360571237585155,0.0
5,0.7341508803347212,0.7341508803347212,0.0,0.7324642357572281,0.7324642357572281,0.0
6,0.7357905682254251,0.7357905682254251,0.0,0.7332596935849244,0.7332596935849244,0.0
7,0.7313442073686511,0.7313442073686511,0.0,0.733307310471176,0.733307310471176,0.0
8,0.7310010686978803,0.7310010686978803,0.0,0.7303142962067415,0.7303142962067415,0.0
9,0.7325862076079735,0.7325862076079735,0.0,0.7328892391613817,0.7328892391613817,0.0
10,0.7325705278707328,0.7325705278707328,0.0,0.732393924514444,0.732393924514444,0.0
